timestamp|event|path|classification|message
2026-03-31 16:14:16|modified|test1.txt|Normal|changes_last_10s=1; file modification
2026-03-31 16:14:16|renamed|test1.txt.locked|Normal|changes_last_10s=2; file rename: test1.txt -> test1.txt.locked; .locked extension detected
2026-03-31 16:14:16|modified|test2.txt|Normal|changes_last_10s=3; file modification
2026-03-31 16:14:16|renamed|test2.txt.locked|Normal|changes_last_10s=4; file rename: test2.txt -> test2.txt.locked; .locked extension detected
2026-03-31 16:14:16|modified|test3.txt|Ransomware|changes_last_10s=5; file modification
2026-03-31 16:14:16|renamed|test3.txt.locked|Ransomware|changes_last_10s=6; file rename: test3.txt -> test3.txt.locked; .locked extension detected
2026-03-31 16:14:16|modified|test4.txt|Ransomware|changes_last_10s=7; file modification
2026-03-31 16:14:16|renamed|test4.txt.locked|Ransomware|changes_last_10s=8; file rename: test4.txt -> test4.txt.locked; .locked extension detected
2026-03-31 16:14:16|modified|test5.txt|Ransomware|changes_last_10s=9; file modification
2026-03-31 16:14:16|renamed|test5.txt.locked|Ransomware|changes_last_10s=10; file rename: test5.txt -> test5.txt.locked; .locked extension detected
2026-03-31 16:16:32|modified|test1.txt|Normal|changes_last_10s=1; file modification
2026-03-31 16:16:32|renamed|test1.txt.locked|Normal|changes_last_10s=2; file rename: test1.txt -> test1.txt.locked; .locked extension detected
2026-03-31 16:16:32|modified|test2.txt|Normal|changes_last_10s=3; file modification
2026-03-31 16:16:32|renamed|test2.txt.locked|Normal|changes_last_10s=4; file rename: test2.txt -> test2.txt.locked; .locked extension detected
2026-03-31 16:16:32|modified|test3.txt|Ransomware|changes_last_10s=5; file modification
2026-03-31 16:16:32|modified|test3.txt|Ransomware|changes_last_10s=6; file modification
2026-03-31 16:16:32|renamed|test3.txt.locked|Ransomware|changes_last_10s=7; file rename: test3.txt -> test3.txt.locked; .locked extension detected
2026-03-31 16:16:32|modified|test4.txt|Ransomware|changes_last_10s=8; file modification
2026-03-31 16:16:32|renamed|test4.txt.locked|Ransomware|changes_last_10s=9; file rename: test4.txt -> test4.txt.locked; .locked extension detected
2026-03-31 16:16:32|modified|test5.txt|Ransomware|changes_last_10s=10; file modification
2026-03-31 16:16:32|renamed|test5.txt.locked|Ransomware|changes_last_10s=11; file rename: test5.txt -> test5.txt.locked; .locked extension detected
2026-03-31 16:27:47|modified|test1.txt|Normal|changes_last_10s=1; file modification
2026-03-31 16:27:47|renamed|test1.txt.locked|Normal|changes_last_10s=2; file rename: test1.txt -> test1.txt.locked; .locked extension detected
2026-03-31 16:27:47|modified|test2.txt|Normal|changes_last_10s=3; file modification
2026-03-31 16:27:47|renamed|test2.txt.locked|Normal|changes_last_10s=4; file rename: test2.txt -> test2.txt.locked; .locked extension detected
2026-03-31 16:27:47|modified|test3.txt|Ransomware|changes_last_10s=5; file modification
2026-03-31 16:27:47|renamed|test3.txt.locked|Ransomware|changes_last_10s=6; file rename: test3.txt -> test3.txt.locked; .locked extension detected
2026-03-31 16:27:47|modified|test4.txt|Ransomware|changes_last_10s=7; file modification
2026-03-31 16:27:47|renamed|test4.txt.locked|Ransomware|changes_last_10s=8; file rename: test4.txt -> test4.txt.locked; .locked extension detected
2026-03-31 16:27:47|modified|test5.txt|Ransomware|changes_last_10s=9; file modification
2026-03-31 16:27:47|renamed|test5.txt.locked|Ransomware|changes_last_10s=10; file rename: test5.txt -> test5.txt.locked; .locked extension detected
2026-03-31 16:27:58|created|test1.txt|Normal|changes_last_10s=1; file created
